dir path;filename;child age;# participants;partipant type;# adults;eng;nlines_Raw;name;Nlines;years;months;days
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Lily;10213;"1;02.13";2;"Mother;Toy;";1;eng;1020;_Providence_Lily_010213-ortholines.txt;1000;1;02;13
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Lily;10228;"1;02.28";3;"Mother;Camera_Operator;Toy;";2;eng;1183;_Providence_Lily_010228-ortholines.txt;1100;1;02;28
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Lily;10313;"1;03.13";3;"Mother;Camera_Operator;Toy;";2;eng;902;_Providence_Lily_010313-ortholines.txt;900;1;03;13
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Lily;10323;"1;03.23";1;"Mother;";1;eng;810;_Providence_Lily_010323-ortholines.txt;800;1;03;23
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Lily;10326;"1;03.26";1;"Mother;";1;eng;1049;_Providence_Lily_010326-ortholines.txt;1000;1;03;26
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Lily;10423;"1;04.23";1;"Mother;";1;eng;844;_Providence_Lily_010423-ortholines.txt;800;1;04;23
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Lily;10508;"1;05.08";2;"Mother;Toy;";1;eng;844;_Providence_Lily_010508-ortholines.txt;800;1;05;08
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Lily;10521;"1;05.21";3;"Mother;Environment;Camera_Operator;";2;eng;963;_Providence_Lily_010521-ortholines.txt;900;1;05;21
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Lily;10611;"1;06.11";2;"Mother;Environment;";1;eng;908;_Providence_Lily_010611-ortholines.txt;900;1;06;11
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Lily;10618;"1;06.18";1;"Mother;";1;eng;972;_Providence_Lily_010618-ortholines.txt;900;1;06;18
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Lily;10701;"1;07.01";3;"Mother;Camera_Operator;Toy;";2;eng;1193;_Providence_Lily_010701-ortholines.txt;1100;1;07;01
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Lily;10719;"1;07.19";2;"Mother;Camera_Operator;";2;eng;1165;_Providence_Lily_010719-ortholines.txt;1100;1;07;19
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Lily;10803;"1;08.03";3;"Mother;Father;Camera_Operator;";3;eng;1079;_Providence_Lily_010803-ortholines.txt;1000;1;08;03
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Lily;10814;"1;08.14";4;"Mother;Camera_Operator;Camera_Operator;Environment;";3;eng;984;_Providence_Lily_010814-ortholines.txt;900;1;08;14
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Lily;10827;"1;08.27";3;"Mother;Camera_Operator;Environment;";2;eng;1110;_Providence_Lily_010827-ortholines.txt;1100;1;08;27
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Lily;10912;"1;09.12";4;"Mother;Father;Camera_Operator;Toy;";3;eng;1205;_Providence_Lily_010912-ortholines.txt;1200;1;09;12
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Lily;10925;"1;09.25";2;"Mother;Camera_Operator;";2;eng;1050;_Providence_Lily_010925-ortholines.txt;1000;1;09;25
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Lily;11009;"1;10.09";2;"Mother;Camera_Operator;";2;eng;1091;_Providence_Lily_011009-ortholines.txt;1000;1;10;09
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Lily;11022;"1;10.22";3;"Mother;Father;Camera_Operator;";3;eng;1143;_Providence_Lily_011022-ortholines.txt;1100;1;10;22
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Lily;11107;"1;11.07";2;"Mother;Camera_Operator;";2;eng;828;_Providence_Lily_011107-ortholines.txt;800;1;11;07
